OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,last_edited_date,Shape_Length,Shape_Area
55,CACA   005639,1267.33,GEOTHERMAL,AUTHORIZED,1979/02/01 00:00:00+00,1220.07871461,322000,GEO LSE COMP PRE 2005,{59604C9C-548E-4DCF-95DE-9073086885D8},,26806.5969514788,4937483.38205003
56,CACA   006217,1600,GEOTHERMAL,AUTHORIZED,1979/07/01 00:00:00+00,1600.0748146,322000,GEO LSE COMP PRE 2005,{37E5655D-52D9-403A-91EA-EBD60FA858C7},,11270.6666480278,6475273.03978441
57,CACA   006218,2486.04,GEOTHERMAL,AUTHORIZED,1979/07/01 00:00:00+00,2486.80576504,322000,GEO LSE COMP PRE 2005,{BD4D2557-444A-4066-AAE1-D132F9409DF0},,16082.8924308524,10063745.881516
58,CACA   006219,1920,GEOTHERMAL,AUTHORIZED,1979/07/01 00:00:00+00,1922.33850278,322000,GEO LSE COMP PRE 2005,{3C280F6B-81FF-4C0E-9C85-E71DFE2EC11A},,12881.7934906443,7779427.91600205
59,CACA   009062,4.48,GEOTHERMAL,AUTHORIZED,2013/01/11 00:00:00+00,4.004095,322000,GEO LSE COMP PRE 2005,{4A91A497-BE58-46B3-B691-3FC9689C224A},,810.498581685434,16203.9975464671
60,CACA   011384,2555,GEOTHERMAL,AUTHORIZED,1987/01/20 00:00:00+00,2529.01509262,322000,GEO LSE COMP PRE 2005,{7AC7DBED-5C46-4A9C-A2F7-B3E9DF187892},,23036.6640446238,10234560.9699337
61,CACA   011385,2430.95,GEOTHERMAL,AUTHORIZED,1987/01/20 00:00:00+00,2345.22367962,322000,GEO LSE COMP PRE 2005,{B7A84931-BC2C-4FB7-8C7D-DEE8ACEA8F3E},,20836.4706140564,9490783.50981517
62,CACA   011402,2554.04,GEOTHERMAL,AUTHORIZED,1987/01/09 00:00:00+00,2416.9353863,322000,GEO LSE COMP PRE 2005,{A8669850-B806-4113-92D7-FB52223E2A13},,22447.7583601845,9780990.49056019
63,CACA   011667,1590,GEOTHERMAL,AUTHORIZED,1982/03/01 00:00:00+00,1512.7175804,322000,GEO LSE COMP PRE 2005,{767AB567-094A-4215-9C00-02B113814335},,20234.4886273482,6121750.85553822
64,CACA   011672,800,GEOTHERMAL,AUTHORIZED,1982/01/01 00:00:00+00,799.17801369,322000,GEO LSE COMP PRE 2005,{B1CBA527-9657-42BA-BD61-CE17597883DE},,8900.44388284043,3234158.67734047
65,CACA   012756,320,GEOTHERMAL,AUTHORIZED,2013/05/31 00:00:00+00,321.43580769,322000,GEO LSE COMP PRE 2005,{842C5FA8-44FA-4F1B-AA64-10EB869D1B64},,5643.77898683108,1300804.56274164
66,CACA   013800,160,GEOTHERMAL,AUTHORIZED,1983/06/01 00:00:00+00,147.19812435,322000,GEO LSE COMP PRE 2005,{FFAA172A-FC5D-4BAE-8DC2-7CE2084261D1},,4600.13004721549,595689.674890792
67,CACA   014404,2542.91,GEOTHERMAL,AUTHORIZED,1985/02/01 00:00:00+00,2538.56448455,322000,GEO LSE COMP PRE 2005,{C7884A29-50E6-407A-9C97-FD79B83B3ACF},,15977.037428028,10273205.9879931
68,CACA   014405,2560,GEOTHERMAL,AUTHORIZED,1985/02/01 00:00:00+00,2557.34560529,322000,GEO LSE COMP PRE 2005,{02A5C5E5-F06E-4734-9D94-CAF56FCB28D3},,15290.1252823508,10349210.4870569
69,CACA   014406,2680,GEOTHERMAL,AUTHORIZED,1985/02/01 00:00:00+00,2669.83187843,322000,GEO LSE COMP PRE 2005,{44D3D7B2-79F3-49BF-B90D-7299A70CEF67},,15264.9745528541,10804426.2839327
